id,redacted_text,redacted_cases,total_duration_seconds,created_at,model
165777,"I've noticed some unusual activities related to the credit card number <FINANCIAL_1>. The transactions are coming from the IP address <IP_1>. As our Investor Program Supervisor, could you please investigate?","[{'text': '6381973478101820', 'placeholder': '<FINANCIAL_1>', 'type': 'financial', 'confidence': 0.99}, {'text': '215.114.180.213', 'placeholder': '<IP_1>', 'type': 'ip_address', 'confidence': 0.98}]",8.02,2025-04-14T21:27:47.972365-07:00,redaction-model-fs:12b
165778,The location for the parent-teacher meeting has been moved to <ADDRESS_1>. Please use the following <COORDINATES_1> for exact navigation.,"[{'text': 'Veterans Memorial Highway', 'placeholder': '<ADDRESS_1>', 'type': 'address', 'confidence': 0.98}, {'text': '[41.948,-53.5323]', 'placeholder': '<COORDINATES_1>', 'type': 'coordinates', 'confidence': 0.99}]",7.34,2025-04-14T21:27:55.318798-07:00,redaction-model-fs:12b
165779,"Appointment reminder for <NAME_1> on <DATE_1>, paid via <FINANCIAL_1>.","[{'text': 'Rebeca', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '16/11/1983', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.97}, {'text': 'mastercard number ending in 5982215161172252', 'placeholder': '<FINANCIAL_1>', 'type': 'financial', 'confidence': 0.98}]",8.38,2025-04-14T21:28:03.709937-07:00,redaction-model-fs:12b
165780,Curriculum development that suits the modern Research is our new project. Aimed at equipping students with the much needed digital skills. Module updates will be via the specified <IP_1> address.,"[{'text': '250.59.196.86', 'placeholder': '<IP_1>', 'type': 'ip_address', 'confidence': 0.99}]",6.21,2025-04-14T21:28:09.930562-07:00,redaction-model-fs:12b
165781,"Dr. <NAME_1>, we'd like to share a study on <CITY_1>'s education trends. It'll be an interesting reference point. I'll email it, <EMAIL_1>, with intriguing insights along with the data.","[{'text': 'Feeney', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'Barnstable Town', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.97}, {'text': 'Jana_Collier@hotmail.com', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.98}]",8.81,2025-04-14T21:28:18.746756-07:00,redaction-model-fs:12b
165782,For immediate attention: <NAME_1> <NAME_2> August is recommended to undergo a change in her psychopharmacological regimen.,"[{'text': 'Patient Johnson', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'Cassie August', 'placeholder': '<NAME_2>', 'type': 'name', 'confidence': 0.98}]",6.81,2025-04-14T21:28:25.567340-07:00,redaction-model-fs:12b
165783,Connect with <NAME_1> to discuss ways how policy reform can revolutionize education in <CITY_1>.,"[{'text': 'Harvey', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'Uri', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.95}]",6.56,2025-04-14T21:28:32.132398-07:00,redaction-model-fs:12b
165784,"Our body, like a car, needs proper care. Your consistent check-ups, diagnosis, and medical history including <IDENTIFICATION_1> and <IDENTIFICATION_2> provide unique identification to our health.","[{'text': '4EBV86HZXGGE66625', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification_number', 'confidence': 0.99}, {'text': 'AU29QFT', 'placeholder': '<IDENTIFICATION_2>', 'type': 'identification_number', 'confidence': 0.98}]",7.79,2025-04-14T21:28:39.931898-07:00,redaction-model-fs:12b
165785,Our Two-spirit centric nutrition sessions are designed to accommodate diet needs based on your <DATE_1>.,"[{'text': 'February 4, 1909', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.99}]",5.72,2025-04-14T21:28:45.658596-07:00,redaction-model-fs:12b
165786,"Hello, A higher incidence of viral illness is spreading in the Southwest region - particularly in the <GENDER_1>. Need to request additional funds, budget proposal in the making.","[{'text': 'Male', 'placeholder': '<GENDER_1>', 'type': 'gender', 'confidence': 0.98}]",5.89,2025-04-14T21:28:51.561074-07:00,redaction-model-fs:12b
165787,"Hello <NAME_1>, We received your last payment, we noticed that the last four digits of your card are <FINANCIAL_1> on our end. Please contact our office if this information is incorrect.","[{'text': 'Mr.Kerluke', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '0760991685235721', 'placeholder': '<FINANCIAL_1>', 'type': 'financial', 'confidence': 0.98}]",7.73,2025-04-14T21:28:59.305039-07:00,redaction-model-fs:12b
165788,Call our Facilitator at <TIME_1> over <IP_ADDRESS_1> if you spot any inconsistencies in the report.,"[{'text': '4 PM', 'placeholder': '<TIME_1>', 'type': 'time', 'confidence': 0.99}, {'text': '152.58.179.27', 'placeholder': '<IP_ADDRESS_1>', 'type': 'ip_address', 'confidence': 0.98}]",7.18,2025-04-14T21:29:06.497211-07:00,redaction-model-fs:12b
165789,Notice for IQD payment for the upcoming legal education session. The amount charged will be <FINANCIAL_1>. You can process the payment with your credit card associated with number <FINANCIAL_2>.,"[{'text': '£0.001b', 'placeholder': '<FINANCIAL_1>', 'type': 'financial', 'confidence': 0.99}, {'text': '6259724424541296', 'placeholder': '<FINANCIAL_2>', 'type': 'financial', 'confidence': 0.99}]",7.69,2025-04-14T21:29:14.198595-07:00,redaction-model-fs:12b
165790,The regulation documents are stored in the <FINANCIAL_1>. Could you access them using the <PASSWORD_1> and send them over to our <CITY_1> branch?,"[{'text': 'Checking Account', 'placeholder': '<FINANCIAL_1>', 'type': 'financial_information', 'confidence': 0.99}, {'text': 'h4yW2I4iydWh', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.98}, {'text': 'North West England', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.96}]",8.46,2025-04-14T21:29:22.673325-07:00,redaction-model-fs:12b
165791,"Dear <NAME_1>, we've a potential security issue. Ensure users' sensitive details including <IDENTIFICATION_1> and <IDENTIFICATION_2> are encrypted and kept safe.","[{'text': 'Branson', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '34EUu2QzxVkmBLo4anvhitwWwV1ux6vDW', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification', 'confidence': 0.98}, {'text': '3CkiYCgdy1gmYJPwHjU2xjuLNtM7T', 'placeholder': '<IDENTIFICATION_2>', 'type': 'identification', 'confidence': 0.97}]",9.38,2025-04-14T21:29:32.059971-07:00,redaction-model-fs:12b
165792,"As Nurses, we often work the Southwest wing in shifts. Next week, I'll be on the <DATE_1> shift, my extension is <PHONE_1>.","[{'text': 'Day', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.97}, {'text': '+004-57 515 8727', 'placeholder': '<PHONE_1>', 'type': 'phone', 'confidence': 0.99}]",7.33,2025-04-14T21:29:39.402712-07:00,redaction-model-fs:12b
165793,"Jewel, our investigation revealed a breach of laws related to your <IDENTIFICATION_1> and <IP_ADDRESS_1>.","[{'text': '37-505230-892683-9', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification_number', 'confidence': 0.99}, {'text': '08:7a:81:2f:48:fd', 'placeholder': '<IP_ADDRESS_1>', 'type': 'ip_address', 'confidence': 0.98}]",7.81,2025-04-14T21:29:47.227388-07:00,redaction-model-fs:12b
165794,"Hello, we would like to initiate a payment to the psychology department. The amount is calculated in local currency, Rand. Please transfer it to <IBAN_1>.","[{'text': 'JO30FXCH0053016004002590010078', 'placeholder': '<IBAN_1>', 'type': 'financial_information', 'confidence': 0.99}]",6.57,2025-04-14T21:29:53.805313-07:00,redaction-model-fs:12b
165795,"According to <NAME_1> - <NAME_2>'s policy, the payment for tuition fee is accepted in Indian Rupee. Please verify and proceed accordingly.","[{'text': 'Kuphal', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.98}, {'text': 'Gislason', 'placeholder': '<NAME_2>', 'type': 'name', 'confidence': 0.97}]",6.9,2025-04-14T21:30:00.715984-07:00,redaction-model-fs:12b
165796,"Our marketing strategy focuses on <NAME_1> in <CITY_1> with IPs in the range of <IP_1> and <IP_2>. For further details, touch base at <EMAIL_1>.","[{'text': 'Cisgenders', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.97}, {'text': 'Baden-Württemberg', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.96}, {'text': '192.234.138.111', 'placeholder': '<IP_1>', 'type': 'ip_address', 'confidence': 0.99}, {'text': '41bd:5dec:8ee3:c6c0:026a:fa3f:8b18:febc', 'placeholder': '<IP_2>', 'type': 'ip_address', 'confidence': 0.98}, {'text': 'Opal_OConner@hotmail.com', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.95}]",12.05,2025-04-14T21:30:12.781756-07:00,redaction-model-fs:12b
165797,"I need the latest update on assessment results. Please send the files to <EMAIL_1>. For your extra time, we'll offer you <CURRENCY_1> but please provide your <ACCOUNT_1> details.","[{'text': 'Valentine4@gmail.com', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.99}, {'text': 'Kip 100,000', 'placeholder': '<CURRENCY_1>', 'type': 'currency', 'confidence': 0.95}, {'text': 'лв account', 'placeholder': '<ACCOUNT_1>', 'type': 'account_details', 'confidence': 0.93}]",8.73,2025-04-14T21:30:21.527012-07:00,redaction-model-fs:12b
165798,Could you please provide your <ATTRIBUTE_1> as it helps us in making our reports more accurate?,"[{'text': 'Green and 6\' 4""', 'placeholder': '<ATTRIBUTE_1>', 'type': 'attribute', 'confidence': 0.85}]",5.57,2025-04-14T21:30:27.109872-07:00,redaction-model-fs:12b
165799,Calling for your Investment Account (number <ACCOUNT_1>) statements as per recent tax law changes. These are essential for your next tax return. Also confirm transactions in <TRANSACTION_ID_1>. Call <PHONE_1> for queries.,"[{'text': '48308813', 'placeholder': '<ACCOUNT_1>', 'type': 'account_number', 'confidence': 0.99}, {'text': 'kr998k', 'placeholder': '<TRANSACTION_ID_1>', 'type': 'transaction_id', 'confidence': 0.95}, {'text': '+390 599-968-1230', 'placeholder': '<PHONE_1>', 'type': 'phone', 'confidence': 0.98}]",9.11,2025-04-14T21:30:36.233811-07:00,redaction-model-fs:12b
165800,"<NAME_1>, our credit card payment system has been updated. Please use card issued by <FINANCE_1> for all future payments.","[{'text': 'Stevie', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'visa', 'placeholder': '<FINANCE_1>', 'type': 'finance', 'confidence': 0.95}]",6.58,2025-04-14T21:30:42.821924-07:00,redaction-model-fs:12b
165801,Could we schedule a meeting at <TIME_1> regarding the property in <STATE_1> with postal code <POSTAL_CODE_1>?,"[{'text': '11:12 PM', 'placeholder': '<TIME_1>', 'type': 'time', 'confidence': 0.99}, {'text': 'Alaska', 'placeholder': '<STATE_1>', 'type': 'state', 'confidence': 0.98}, {'text': '99578', 'placeholder': '<POSTAL_CODE_1>', 'type': 'postal_code', 'confidence': 0.97}]",7.98,2025-04-14T21:30:50.806303-07:00,redaction-model-fs:12b
165802,"Hi <NAME_1>, can you confirm your <IDENTIFICATION_1> and <DATE_1> for the ICU record? We have a slot in the <LOCATION_1>. And if there's any changes in your personal info, REPORT IMMEDIATELY IN THE SYSTEM.","[{'text': 'Hosea', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '479-13-8850', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification', 'confidence': 0.98}, {'text': '11/43', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.96}, {'text': 'Southwest wing', 'placeholder': '<LOCATION_1>', 'type': 'location', 'confidence': 0.94}]",10.07,2025-04-14T21:31:00.887129-07:00,redaction-model-fs:12b
165803,"<NAME_1>, the code you submitted for the networking assignment shows similarities with <NAME_2>'s code, notably the part dealing with <IDENTIFIER_1>. Please clarify.","[{'text': 'Nels', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'Abby', 'placeholder': '<NAME_2>', 'type': 'name', 'confidence': 0.98}, {'text': 'db:c0:c1:05:bf:5d', 'placeholder': '<IDENTIFIER_1>', 'type': 'identifier', 'confidence': 0.95}]",8.54,2025-04-14T21:31:09.436082-07:00,redaction-model-fs:12b
165804,We noted several transactions made from your account <ACCOUNT_1> amounting to a total of <AMOUNT_1> Rufiyaa. Was this part of your departmental budget allocation for the organizational redesign project? Please confirm.,"[{'text': '71573733', 'placeholder': '<ACCOUNT_1>', 'type': 'account', 'confidence': 0.99}, {'text': '764,336.48Rufiyaa', 'placeholder': '<AMOUNT_1>', 'type': 'financial', 'confidence': 0.98}]",7.73,2025-04-14T21:31:17.181655-07:00,redaction-model-fs:12b
165805,"Hi team, I am facing some technical difficulties accessing our website <WEBSITE_1>. Could anyone please look into the related <IP_ADDRESS_1> and prevent any potential anomalies?","[{'text': 'https://rusty-sweater.org', 'placeholder': '<WEBSITE_1>', 'type': 'website', 'confidence': 0.99}, {'text': '2a53:8f40:3fcb:dea5:dfa6:8ca2:cf3b:e6ea', 'placeholder': '<IP_ADDRESS_1>', 'type': 'ip_address', 'confidence': 0.98}]",8.22,2025-04-14T21:31:25.415751-07:00,redaction-model-fs:12b
165806,"As a reminder, the Mathematics Education conference is approaching. We're currently seeking vendors and sponsors. We appreciate any contribution made via Bitcoin at this address: <CRYPTO_1>. Accommodations will be at <ADDRESS_1> starting <DATE_1>","[{'text': '1wcy8u4zbKiZA4CANutQohXaN49EJmFioXJZ', 'placeholder': '<CRYPTO_1>', 'type': 'cryptocurrency', 'confidence': 0.99}, {'text': 'Apt. 259', 'placeholder': '<ADDRESS_1>', 'type': 'address', 'confidence': 0.96}, {'text': 'July 5, 2023', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.98}]",9.51,2025-04-14T21:31:34.934697-07:00,redaction-model-fs:12b
165807,"Dear <NAME_1>, your credit card ending in <CREDIT_CARD_1> will be charged for amount <AMOUNT_1> for the course fee. For any disputes, reach us on <PHONE_1>.","[{'text': 'Roma_Altenwerth', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '7906933320437749', 'placeholder': '<CREDIT_CARD_1>', 'type': 'credit_card', 'confidence': 0.98}, {'text': '666,673.23₩', 'placeholder': '<AMOUNT_1>', 'type': 'financial_information', 'confidence': 0.97}, {'text': '+535-777.204.9743', 'placeholder': '<PHONE_1>', 'type': 'phone', 'confidence': 0.96}]",10.78,2025-04-14T21:31:45.729506-07:00,redaction-model-fs:12b
165808,"Dear <NAME_1>, the results prove the efficacy of alternative medicine on people your age (<DATE_1>). For details, connect to <EMAIL_1>.","[{'text': 'Rocky', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '40', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.95}, {'text': 'Isobel_Aufderhar@gmail.com', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.98}]",8.27,2025-04-14T21:31:54.009897-07:00,redaction-model-fs:12b
165809,"<NAME_1>, congratulations on getting elected as our class president. Can you prepare a presentation on Time Management and present it at our upcoming meet at <POSTAL_CODE_1>?","[{'text': 'Dakota', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '66952', 'placeholder': '<POSTAL_CODE_1>', 'type': 'postal_code', 'confidence': 0.98}]",7.21,2025-04-14T21:32:01.229540-07:00,redaction-model-fs:12b
165810,"Hey <NAME_1>, we’ve received your application for educational funding. Your fund application process is underway and you shall receive $<AMOUNT_1> once the process is completed.","[{'text': 'Alberta', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '$0.4m', 'placeholder': '<AMOUNT_1>', 'type': 'financial_information', 'confidence': 0.98}]",7.12,2025-04-14T21:32:08.361924-07:00,redaction-model-fs:12b
165811,"We need some clarification regarding expenditure on your travel using the card <CARD_1>, finalized under the IP: <IP_1>. We request further clarification on the implication of this. Best, Account Team.","[{'text': '1417506813461516', 'placeholder': '<CARD_1>', 'type': 'financial', 'confidence': 0.99}, {'text': '6b3b:c6fc:209a:e5b1:9b4f:ea5b:8a5e:e58e', 'placeholder': '<IP_1>', 'type': 'ip_address', 'confidence': 0.98}]",8.57,2025-04-14T21:32:16.937380-07:00,redaction-model-fs:12b
165812,Donations for our public health initiative are encouraged through cryptocurrency. Please use <CRYPTOCURRENCY_1> or <CRYPTOCURRENCY_2>.,"[{'text': '0x1ff90b9ec7fa013d7fadc6ae33da9d9ed7baec0b', 'placeholder': '<CRYPTOCURRENCY_1>', 'type': 'cryptocurrency', 'confidence': 0.99}, {'text': '34nfuko7AiX7MXkz6syvQ38auUycszmMwMQEw', 'placeholder': '<CRYPTOCURRENCY_2>', 'type': 'cryptocurrency', 'confidence': 0.98}]",8.5,2025-04-14T21:32:25.452615-07:00,redaction-model-fs:12b
165813,"Curriculum-related expenses are expected to be around $5,000. You can make the payment using the following card number <FINANCIAL_1> provided by maestro, the CVV is <FINANCIAL_2>.","[{'text': '6173307729169752', 'placeholder': '<FINANCIAL_1>', 'type': 'financial', 'confidence': 0.99}, {'text': '531', 'placeholder': '<FINANCIAL_2>', 'type': 'financial', 'confidence': 0.98}]",7.73,2025-04-14T21:32:33.191366-07:00,redaction-model-fs:12b
165814,"Hey <NAME_1>, welcome aboard. We'll refund your travel. Please provide your card number ending in <FINANCIAL_1>. Also, ensure wiring through <CURRENCY_1>.","[{'text': 'Mary', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '8213589685195097', 'placeholder': '<FINANCIAL_1>', 'type': 'financial', 'confidence': 0.98}, {'text': 'MXN', 'placeholder': '<CURRENCY_1>', 'type': 'currency', 'confidence': 0.95}]",8.63,2025-04-14T21:32:41.831196-07:00,redaction-model-fs:12b
165815,"Despite several warnings, <NAME_1> continues to disrupt classes. I'd like to set a meeting with <RELATION_1> to discuss the matter. Please reach them at <PHONE_1> and arrange a suitable time.","[{'text': 'Selena.Swift', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'his parents Dr. Gulgowski', 'placeholder': '<RELATION_1>', 'type': 'personal_relation', 'confidence': 0.97}, {'text': '+23-49 744 0085', 'placeholder': '<PHONE_1>', 'type': 'phone', 'confidence': 0.98}]",9.07,2025-04-14T21:32:50.909346-07:00,redaction-model-fs:12b
165816,"<NAME_1>, accused of hacking, had been tracked via <IP_1>. The system was breached using the user agent identified as <USER_AGENT_1>.","[{'text': 'Lelah Ward', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '193.41.39.79', 'placeholder': '<IP_1>', 'type': 'ip_address', 'confidence': 0.98}, {'text': 'Opera/10.56 (X11; Linux i686; U; FA Presto/2.9.175 Version/11.00)', 'placeholder': '<USER_AGENT_1>', 'type': 'user_agent', 'confidence': 0.95}]",9.49,2025-04-14T21:33:00.411248-07:00,redaction-model-fs:12b
165817,Our Forward Directives Architect reports a delay in delivery at <CITY_1> due to redirection to the Northwest route.,"[{'text': 'Powys', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.96}]",5.5,2025-04-14T21:33:05.927827-07:00,redaction-model-fs:12b
